[2016/4/10 - 13:51:51] << Ryan da dat mot hop dong Edwards S Buzikk gia $100000 , Chi tiet: bom >>
[2016/4/11 - 19:15:07] << Jav Trung da dat mot hop dong Jimmy S Buzikk gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 19:15:10] << Jav Trung da dat mot hop dong Yakuza Nam gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:49:20] << Jav Trung da dat mot hop dong Vicmax nghia gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:49:29] << Jav Trung da dat mot hop dong Best Skill gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:49:45] << Jav Trung da dat mot hop dong Quiz S Buzikk gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:49:57] << Jav Trung da dat mot hop dong Jeremy Army gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:50:13] << Jav Trung da dat mot hop dong Agent Perry gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:50:24] << Jav Trung da dat mot hop dong Army Ryn gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:50:30] << Jav Trung da dat mot hop dong Army Max gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:50:33] << Jav Trung da dat mot hop dong Dao Tran gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:50:39] << Jav Trung da dat mot hop dong Army Kun gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:50:45] << Jav Trung da dat mot hop dong Army Rain gia $1000000 , Chi tiet: giet >>
[2016/4/11 - 21:50:47] << Jav Trung da dat mot hop dong Army Moon gia $1000000 , Chi tiet: giet >>
[2016/4/12 - 8:15:59] << Army Moon da dat mot hop dong Natsu Aztecas gia $50000 , Chi tiet: tao deo thik no >>
[2016/4/12 - 8:36:40] << Army Thu Hanh da dat mot hop dong Rio gia $50000 , Chi tiet: KOS >>
[2016/4/12 - 9:36:28] << Natsu Aztecas da dat mot hop dong Rio gia $500000 , Chi tiet: giet chit cha no' >>
[2016/4/12 - 9:37:25] << Natsu Aztecas da dat mot hop dong Smith CoDoc gia $500000 , Chi tiet: giet me no' >>
[2016/4/12 - 9:37:30] << Natsu Aztecas da dat mot hop dong Tuan Smith gia $500000 , Chi tiet: giet me no' >>
[2016/4/12 - 12:59:50] << Rio da dat mot hop dong Forever Toppi gia $100000 , Chi tiet: cho no an cuc di now >>
[2016/4/13 - 9:29:19] << Natsu Aztecas da dat mot hop dong Jeremy Army gia $400000 , Chi tiet: giet >>
[2016/4/14 - 8:56:53] << Nguyen Linh da dat mot hop dong Army Thu Hanh gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:57:13] << Nguyen Linh da dat mot hop dong Army Ryn gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:57:28] << Nguyen Linh da dat mot hop dong Rio gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:57:54] << Nguyen Linh da dat mot hop dong Kevin Tien gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:58:00] << Nguyen Linh da dat mot hop dong Chunq Le gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:58:13] << Nguyen Linh da dat mot hop dong MonKey S Buzikk gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:58:15] << Nguyen Linh da dat mot hop dong Best Skill gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:58:19] << Nguyen Linh da dat mot hop dong Army Thu Hanh gia $100000 , Chi tiet: giet >>
[2016/4/14 - 8:58:25] << Nguyen Linh da dat mot hop dong Trong Smith gia $100000 , Chi tiet: giet >>
[2016/4/14 - 10:00:54] << NguyenVan Sang da dat mot hop dong Kevin Tien gia $100000 , Chi tiet: quat >>
[2016/4/14 - 10:01:10] << NguyenVan Sang da dat mot hop dong Kevin Tien gia $100000 , Chi tiet: quat >>
[2016/4/14 - 10:01:22] << NguyenVan Sang da dat mot hop dong Tuan gia $100000 , Chi tiet: quat >>
[2016/4/14 - 18:30:28] << Brandon Steven da dat mot hop dong Quoc Tyyy gia $200000 , Chi tiet: giet >>
[2016/4/14 - 18:30:38] << Army Thu Hanh da dat mot hop dong God gia $100000 , Chi tiet: KOS >>
[2016/4/14 - 18:30:41] << Chi Chuot da dat mot hop dong Gia Hao gia $50000 , Chi tiet: diet tui >>
[2016/4/15 - 9:24:51] << Best Skill da dat mot hop dong Natsu Aztecas gia $50000 , Chi tiet: Chay xe k an toan >>
[2016/4/15 - 12:37:05] << Anh Nghia da dat mot hop dong Club Stone gia $50000 , Chi tiet: d >>
[2016/4/15 - 12:42:55] << Army Thu hanh da dat mot hop dong Tai Danny gia $50000 , Chi tiet: DM >>
[2016/4/15 - 17:58:54] << Nguyen.HD Pinz da dat mot hop dong Son s Buzikk gia $100000 , Chi tiet: giet no >>
[2016/4/15 - 18:01:04] << Nguyen.HD Pinz da dat mot hop dong Ong Trum gia $100000 , Chi tiet: giét chét cm nó den heo >>
[2016/4/15 - 18:46:24] << Swag Kevin da dat mot hop dong John xSat gia $100000 , Chi tiet: giet >>
[2016/4/15 - 18:52:30] << Swag Kevin da dat mot hop dong Thien Khanh gia $100000 , Chi tiet: giet >>
[2016/4/15 - 18:53:00] << Zeats da dat mot hop dong Ryan gia $50000 , Chi tiet: Boss >>
[2016/4/15 - 18:54:10] << Kin Aremas da dat mot hop dong Vladimir Smith gia $50000 , Chi tiet: 1 >>
[2016/4/15 - 19:27:13] << Virgo lamer da dat mot hop dong Army Hieuu gia $500000 , Chi tiet: thic >>
[2016/4/15 - 19:36:31] << Dang Ngoc Son da dat mot hop dong MonKeyD S Buzikk gia $100000 , Chi tiet: 1 >>
[2016/4/15 - 19:50:45] << MonKeyD S Buzikk da dat mot hop dong Jav Trung gia $100000 , Chi tiet: Toi Ghet >>
[2016/4/15 - 20:20:07] << MonKeyD S Buzikk da dat mot hop dong Army Max gia $200000 , Chi tiet: Ghet' >>
[2016/4/15 - 20:30:41] << MonKeyD S Buzikk da dat mot hop dong Gia Hao gia $100000 , Chi tiet: . >>
[2016/4/16 - 10:49:56] << Phuoc S Buzikk da dat mot hop dong ken s Buzikk gia $50000 , Chi tiet: giet >>
[2016/4/16 - 10:50:02] << Trung Bejamin da dat mot hop dong Jerry Maidns gia $200000 , Chi tiet: War Tôi Tôi War Lai ? >>
[2016/4/16 - 11:02:16] << Shadow Smth da dat mot hop dong Thien Khanh gia $100000 , Chi tiet: Thích >>
[2016/4/16 - 11:05:08] << Darks Night da dat mot hop dong Blue Ken Geramay gia $50000 , Chi tiet: Giet nguoi >>
[2016/4/16 - 11:12:37] << Brandon Stack da dat mot hop dong Darks Night gia $200000 , Chi tiet: 1 >>
[2016/4/16 - 12:23:55] << Nguyen.HD Pinz da dat mot hop dong Huyy Touliver gia $500000 , Chi tiet: giét no >>
[2016/4/16 - 12:27:09] << Nguyen.HD Pinz da dat mot hop dong Huyy Touliver gia $100000 , Chi tiet: giet nó >>
[2016/4/16 - 12:27:11] << Nguyen.HD Pinz da dat mot hop dong Huyy Touliver gia $100000 , Chi tiet: giet nó >>
[2016/4/16 - 12:30:45] << Nguyen.HD Pinz da dat mot hop dong Vladimir Sky gia $100000 , Chi tiet: cc >>
[2016/4/16 - 12:31:00] << Adam rock da dat mot hop dong Huyy Touliver gia $200000 , Chi tiet: Giet >>
[2016/4/16 - 12:35:36] << Pinz Assassin da dat mot hop dong Huyy Touliver gia $100000 , Chi tiet: giét cm nó >>
[2016/4/16 - 12:35:36] << Pinz Assassin da dat mot hop dong Huyy Touliver gia $100000 , Chi tiet: giét cm nó >>
[2016/4/16 - 12:41:27] << Vladimir Sky da dat mot hop dong Rio SoiCa gia $1000000 , Chi tiet: Giet chet me no cho anh >>
[2016/4/16 - 12:52:37] << Pinz Assassin da dat mot hop dong Yakuza Nam gia $100000 , Chi tiet: giet no >>
[2016/4/16 - 12:52:37] << Pinz Assassin da dat mot hop dong Yakuza Nam gia $100000 , Chi tiet: giet no >>
[2016/4/16 - 12:56:02] << Pinz Assassin da dat mot hop dong Nguyen Thi Thu Hanh gia $100000 , Chi tiet: giet no >>
[2016/4/16 - 12:56:54] << Pinz Assassin da dat mot hop dong Tuan Smith gia $100000 , Chi tiet: giet no >>
[2016/4/16 - 13:01:27] << Nguyen Thi Thu Hanh da dat mot hop dong James smith gia $200000 , Chi tiet: DM >>
[2016/4/16 - 13:12:28] << James smith da dat mot hop dong Nguyen Thi Thu Hanh gia $100000 , Chi tiet: giet >>
[2016/4/16 - 13:12:45] << Ratt Baby da dat mot hop dong Nguyen Thi Thu Hanh gia $100000 , Chi tiet: giet >>
[2016/4/16 - 13:12:56] << Leg Nguyen da dat mot hop dong Thien Khanh gia $500000 , Chi tiet: giet >>
[2016/4/16 - 13:13:08] << Leg Nguyen da dat mot hop dong Army Rain gia $100000 , Chi tiet: giet >>
[2016/4/16 - 13:13:18] << Leg Nguyen da dat mot hop dong Army Rain gia $100000 , Chi tiet: giet >>
[2016/4/16 - 13:30:17] << Pinz Assassin da dat mot hop dong Trung Bejamin gia $100000 , Chi tiet: giét nó >>
[2016/4/16 - 14:09:22] << Roger da dat mot hop dong Trung Bejamin gia $1000000 , Chi tiet: Test Hitman >>
[2016/4/16 - 16:46:58] << Alexander Chivas da dat mot hop dong Le VanToan gia $100000 , Chi tiet: 100000 >>
[2016/4/16 - 16:47:07] << Alexander Kyle da dat mot hop dong Rio SoiCa gia $100000 , Chi tiet: giet =]]z >>
[2016/4/16 - 16:47:33] << Army Rain da dat mot hop dong TiVii GamBit gia $1000000 , Chi tiet: no kos >>
[2016/4/16 - 16:47:48] << Yakuza Nam da dat mot hop dong Army Rain gia $100000 , Chi tiet: giet... >>
[2016/4/16 - 16:49:04] << Alexander Chivas da dat mot hop dong Johnson Grover gia $100000 , Chi tiet: lam an  >>
[2016/4/16 - 16:56:10] << Zolipe Alvarrez da dat mot hop dong Micky Holdny gia $50000 , Chi tiet: Lam dung >>
[2016/4/16 - 16:56:35] << Gia Bao da dat mot hop dong Hung Garrix gia $50000 , Chi tiet: Chém >>
[2016/4/16 - 16:56:56] << Agent Perry da dat mot hop dong Micky Holdny gia $100000 , Chi tiet: giet thang cho >>
[2016/4/16 - 17:19:02] << Army Rain da dat mot hop dong Barrack Obama gia $1000000 , Chi tiet: ghét thg dó >>
[2016/4/16 - 18:24:23] << Nguyen Thi Thu Hanh da dat mot hop dong South Mouter gia $500000 , Chi tiet: Ghet Ai Hitman >>
[2016/4/16 - 18:26:19] << Nguyen Thi Thu Hanh da dat mot hop dong South Mouter gia $200000 , Chi tiet: Ghet May rui do >>
[2016/4/16 - 23:18:24] << Darks Night da dat mot hop dong Rio Soica gia $100000 , Chi tiet: Chich Gai xong bo chay >>
[2016/4/16 - 23:19:43] << beo hardy da dat mot hop dong Gau Xcution gia $50000 , Chi tiet: giet >>
[2016/4/16 - 23:22:11] << beo hardy da dat mot hop dong Gau Xcution gia $50000 , Chi tiet: giet >>
[2016/4/17 - 9:13:10] << Monster Giang da dat mot hop dong Bao Bejamin gia $50000 , Chi tiet: Giet >>
[2016/4/17 - 9:14:46] << LeG Nguyen da dat mot hop dong Yakuza Thinh gia $100000 , Chi tiet: giet no >>
[2016/4/17 - 9:14:57] << Kyle Nguyen da dat mot hop dong Paul gia $100000 , Chi tiet: giet =]]z >>
[2016/4/17 - 9:15:31] << Best Skill da dat mot hop dong Natsu Aztecas gia $50000 , Chi tiet: ghet >>
[2016/4/17 - 9:18:34] << Van kiet da dat mot hop dong Gia Hao gia $1000000 , Chi tiet: . >>
[2016/4/17 - 9:29:43] << Cong Vinh Rau da dat mot hop dong South Mouter gia $100000 , Chi tiet: Giêt >>
[2016/4/17 - 9:39:12] << Cong Vinh Rau da dat mot hop dong South Mouter gia $100000 , Chi tiet: Gietêt >>
[2016/4/17 - 9:43:25] << Cong Vinh Rau da dat mot hop dong South Mouter gia $100000 , Chi tiet: Giêt >>
[2016/4/17 - 11:25:25] << Matthew Award da dat mot hop dong Ney Gambit gia $50000 , Chi tiet: gietttttttttttt >>
[2016/4/17 - 11:25:59] << Matthew Award da dat mot hop dong TiVii GamBit gia $50000 , Chi tiet: Chém >>
[2016/4/17 - 11:52:17] << Dussting Feeg da dat mot hop dong army max gia $50000 , Chi tiet: 1 >>
[2016/4/17 - 11:52:30] << Darlen Edwards da dat mot hop dong Huyy Touliver gia $100000 , Chi tiet: khong thich >>
[2016/4/17 - 11:52:48] << Dussting Feeg da dat mot hop dong LTT Dung gia $100000 , Chi tiet: 1 >>
[2016/4/17 - 11:53:43] << Song Joong Ki da dat mot hop dong Hoai DaiCa gia $100000 , Chi tiet: Ngu nguoi  >>
[2016/4/17 - 12:24:03] << Alexander Peter da dat mot hop dong John Kaito gia $100000 , Chi tiet: tre trau >>
[2016/4/17 - 12:35:31] << Red Vagos da dat mot hop dong Timofei Bashkirov gia $50000 , Chi tiet: Giet >>
[2016/4/17 - 16:48:58] << Paul da dat mot hop dong Ken Ander gia $1000000 , Chi tiet: giet >>
[2016/4/17 - 16:49:48] << Paul da dat mot hop dong Matthew Award gia $1000000 , Chi tiet: giet >>
[2016/4/17 - 16:52:30] << Paul da dat mot hop dong Army ryn gia $1000000 , Chi tiet: giet >>
[2016/4/17 - 16:52:43] << Paul da dat mot hop dong Huyy Touliver gia $1000000 , Chi tiet: giet >>
[2016/4/17 - 16:52:50] << Paul da dat mot hop dong Nguyen Ngoc Tram gia $1000000 , Chi tiet: giet >>
[2016/4/17 - 16:53:32] << Darks Night da dat mot hop dong Nobita Nam gia $50000 , Chi tiet: Lam dung >>
[2016/4/17 - 16:53:36] << Thanh Bua da dat mot hop dong Army Max gia $50000 , Chi tiet: No giet ban tui >>
[2016/4/17 - 16:53:42] << Chi Chuot da dat mot hop dong Gia Hao gia $50000 , Chi tiet: kick faction,lam dung faction v >>
[2016/4/17 - 16:55:14] << Paul da dat mot hop dong Chopin Finly gia $1000000 , Chi tiet: Giet >>
[2016/4/17 - 16:55:21] << Paul da dat mot hop dong Jerry Maidns gia $1000000 , Chi tiet: Giet >>
[2016/4/17 - 16:55:25] << Paul da dat mot hop dong Thomas.Edison Edwars gia $1000000 , Chi tiet: Giet >>
[2016/4/17 - 16:56:16] << Paul da dat mot hop dong tron smoke gia $1000000 , Chi tiet: giet no >>
[2016/4/17 - 16:56:44] << Paul da dat mot hop dong Song Joong Ki gia $1000000 , Chi tiet: giet >>
[2016/4/17 - 19:02:39] << Dean Amborse da dat mot hop dong Harold Shipman gia $100000 , Chi tiet: Giet >>
[2016/4/17 - 19:02:57] << Newile Mouter da dat mot hop dong Army Moon gia $100000 , Chi tiet: giet >>
[2016/4/17 - 19:03:47] << Newile Mouter da dat mot hop dong Donimic Andrew gia $500000 , Chi tiet: giet >>
[2016/4/17 - 19:20:35] << Newile Mouter da dat mot hop dong Tran Vy gia $500000 , Chi tiet: Giet >>
[2016/4/17 - 19:20:48] << Newile Mouter da dat mot hop dong Rain Anders gia $500000 , Chi tiet: Giet >>
[2016/4/17 - 19:20:59] << Newile Mouter da dat mot hop dong Army Rain gia $500000 , Chi tiet: Giet >>
[2016/4/17 - 19:21:17] << Newile Mouter da dat mot hop dong Kelvin tien gia $500000 , Chi tiet: Giet >>
[2016/4/17 - 19:27:14] << Nguyen Huu Duc da dat mot hop dong Newile Mouter gia $100000 , Chi tiet: Giêt >>
[2016/4/17 - 20:00:59] << Nguyen Huu Duc da dat mot hop dong Wrath Rain gia $500000 , Chi tiet: Giêt >>
[2016/4/18 - 11:29:48] << Paul da dat mot hop dong KuTo KenDy gia $1000000 , Chi tiet: Giet >>
[2016/4/18 - 11:29:55] << Paul da dat mot hop dong Nick Cover gia $1000000 , Chi tiet: Giet >>
[2016/4/18 - 11:30:57] << Paul da dat mot hop dong Geek Slamder gia $1000000 , Chi tiet: Giet >>
[2016/4/18 - 11:31:09] << Paul da dat mot hop dong Jerry Maidns gia $1000000 , Chi tiet: Giet >>
[2016/4/18 - 12:24:59] << Nhok Duy da dat mot hop dong MonKeyD S Buzikk gia $500000 , Chi tiet: Giet >>
[2016/4/18 - 15:34:55] << Matthew Award da dat mot hop dong Nguyen Net gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 15:35:08] << Matthew Award da dat mot hop dong Hades Chivas gia $100000 , Chi tiet: Giett >>
[2016/4/18 - 15:35:23] << Matthew Award da dat mot hop dong Jav Trung gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 15:35:27] << Matthew Award da dat mot hop dong Park Man gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 15:35:30] << Matthew Award da dat mot hop dong Hades Chivas gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 15:35:47] << Matthew Award da dat mot hop dong Park Man gia $50000 , Chi tiet: Giet >>
[2016/4/18 - 19:32:54] << Park Man da dat mot hop dong Pakuza Wazaki gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 19:32:56] << Park Man da dat mot hop dong Max Speed gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 19:33:01] << Park Man da dat mot hop dong Smith S Buzikk gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 19:33:03] << Park Man da dat mot hop dong Nguyen.Quang Trung gia $100000 , Chi tiet: Giet >>
[2016/4/18 - 19:43:18] << Park Man da dat mot hop dong Blue Ken Gambit gia $100000 , Chi tiet: giet >>
[2016/4/18 - 19:44:07] << Park Man da dat mot hop dong Smith S Buzikk gia $1000000 , Chi tiet: GIet >>
[2016/4/18 - 20:15:14] << Park Man da dat mot hop dong Vladimir Sky gia $1000000 , Chi tiet: giet >>
[2016/4/18 - 20:17:24] << Park Man da dat mot hop dong Alexander Pey gia $100000 , Chi tiet: giet >>
[2016/4/18 - 21:09:30] << Mark Roys da dat mot hop dong Valerie Andrea gia $50000 , Chi tiet: Ghet >>
[2016/4/18 - 21:19:14] << Thien Khanh da dat mot hop dong Paul gia $100000 , Chi tiet: tra thu gium toi >>
[2016/4/18 - 21:23:33] << Thien Khanh da dat mot hop dong Ty Bejamin gia $50000 , Chi tiet: tra thu gium >>
[2016/4/18 - 21:30:08] << Newile Mouter da dat mot hop dong Darks Night gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:30:21] << Newile Mouter da dat mot hop dong Ercy Phantom gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:30:40] << Newile Mouter da dat mot hop dong TN Hoang gia $100000 , Chi tiet: giet >>
[2016/4/18 - 21:30:43] << Newile Mouter da dat mot hop dong One Staff gia $100000 , Chi tiet: giet >>
[2016/4/18 - 21:31:08] << Newile Mouter da dat mot hop dong Frozen Kenz gia $100000 , Chi tiet: giet >>
[2016/4/18 - 21:31:15] << Newile Mouter da dat mot hop dong Bucky Barnes gia $100000 , Chi tiet: giet >>
[2016/4/18 - 21:31:22] << Newile Mouter da dat mot hop dong ACE thuan gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:31:27] << Newile Mouter da dat mot hop dong Mark Roys gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:31:37] << Newile Mouter da dat mot hop dong Best Skill gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:31:45] << Newile Mouter da dat mot hop dong Tran Vy gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:31:46] << Thien Khanh da dat mot hop dong Ty Bejamin gia $50000 , Chi tiet: tra thu gium >>
[2016/4/18 - 21:31:48] << Newile Mouter da dat mot hop dong Ngo Duy Quan gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:31:57] << Newile Mouter da dat mot hop dong Smith S Buzikk gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:32:00] << Newile Mouter da dat mot hop dong Van kiet gia $50000 , Chi tiet: giet >>
[2016/4/18 - 21:35:34] << Thien Khanh da dat mot hop dong Ty Bejamin gia $50009 , Chi tiet: tra thu gium toi >>
[2016/4/18 - 21:36:23] << Bucky Barnes da dat mot hop dong Dao Tran gia $100000 , Chi tiet: nó thông ass tôi >>
[2016/4/18 - 21:55:51] << Darks Night da dat mot hop dong Best Skill gia $50000 , Chi tiet: Giet nguoi >>
[2016/4/19 - 8:51:33] << Nam S Dark da dat mot hop dong Pen  gia $100000 , Chi tiet: no kos toi >>
[2016/4/19 - 8:51:46] << Van kiet da dat mot hop dong Mark Danie gia $1000000 , Chi tiet: lao >>
[2016/4/19 - 11:48:35] << Eazy ThugS da dat mot hop dong Blue Ken Gambit gia $100000 , Chi tiet: Giet >>
[2016/4/19 - 11:51:28] << Jokers Jackson da dat mot hop dong Mafia Danh gia $100000 , Chi tiet: thich >>
[2016/4/19 - 11:51:46] << G Dragon da dat mot hop dong Jaki Natsumii gia $100000 , Chi tiet: giet no >>
[2016/4/19 - 11:51:48] << G Dragon da dat mot hop dong Jaki Natsumii gia $100000 , Chi tiet: giet no >>
[2016/4/19 - 11:51:49] << G Dragon da dat mot hop dong Jaki Natsumii gia $100000 , Chi tiet: giet no >>
[2016/4/19 - 11:53:07] << Mafia Danh da dat mot hop dong Jokers Jackson gia $100000 , Chi tiet: hop dong tao ha may >>
[2016/4/19 - 11:54:10] << Kyle Nguyen da dat mot hop dong Leonard Keary gia $50000 , Chi tiet: giet >>
[2016/4/19 - 11:54:57] << Mafia Danh da dat mot hop dong Jokers Jackson gia $300000 , Chi tiet: cho cai toi hopdong dat boom no >>
[2016/4/19 - 11:55:28] << Jaki Natsumii da dat mot hop dong G Dragon gia $500000 , Chi tiet: giet chet me no di >>
[2016/4/19 - 11:57:04] << G Dragon da dat mot hop dong Mafia Danh gia $50000 , Chi tiet: giet >>
[2016/4/19 - 11:57:32] << G Dragon da dat mot hop dong Jaki Natsumii gia $50000 , Chi tiet: giet >>
[2016/4/19 - 11:57:33] << G Dragon da dat mot hop dong Jaki Natsumii gia $50000 , Chi tiet: giet >>
[2016/4/19 - 11:57:39] << G Dragon da dat mot hop dong Jaki Natsumii gia $50000 , Chi tiet: giet >>
[2016/4/19 - 12:30:42] << Jokers Jackson da dat mot hop dong Toppi gia $100000 , Chi tiet: Giet chem chet  >>
[2016/4/19 - 15:14:12] << Nathan Saborio da dat mot hop dong Best Skill gia $1000000 , Chi tiet: giet no >>
[2016/4/19 - 15:39:23] << Paul da dat mot hop dong William Anderson gia $50000 , Chi tiet: Giet >>
[2016/4/19 - 15:52:19] << Nick Edwards da dat mot hop dong Alexander Gregory gia $50000 , Chi tiet: Giet >>
[2016/4/19 - 15:52:28] << New Stars da dat mot hop dong Alexander Gregory gia $50000 , Chi tiet: Giet Ho Em De >>
[2016/4/19 - 15:52:42] << Nam Bejamin da dat mot hop dong New Stars gia $200000 , Chi tiet: giet chet me no di >>
[2016/4/19 - 15:52:46] << Show Small da dat mot hop dong Army Rain gia $200000 , Chi tiet: Cuop nguoi yeu Giet >>
[2016/4/19 - 15:53:48] << Alexander Chivas da dat mot hop dong New Stars gia $100000 , Chi tiet: kos >>
[2016/4/19 - 16:21:31] << Kuro Sama da dat mot hop dong Robin Nicolas gia $100000 , Chi tiet: Toi ghet no >>
[2016/4/19 - 19:11:06] << Aquarius Corleone da dat mot hop dong William Anderson gia $50000 , Chi tiet: RIP >>
[2016/4/19 - 19:20:22] << Aquarius Corleone da dat mot hop dong Mark Roys gia $50000 , Chi tiet: RIP >>
[2016/4/19 - 19:20:47] << Aquarius Corleone da dat mot hop dong John Long gia $50000 , Chi tiet: RIP >>
[2016/4/19 - 19:30:56] << Rain Hoon da dat mot hop dong PArk Man gia $200000 , Chi tiet: giet ! >>
[2016/4/19 - 19:38:20] << Mark Roys da dat mot hop dong Aquarius Corleone gia $500000 , Chi tiet: Tre trau muon giet' >>
[2016/4/19 - 21:16:46] << Jokers Jackson da dat mot hop dong DaiCa Trong gia $100000 , Chi tiet: Thich giet >>
[2016/4/19 - 21:40:33] << Nicholas James da dat mot hop dong Mich Staff gia $1000000 , Chi tiet: kill >>
[2016/4/19 - 21:58:14] << Nicholas James da dat mot hop dong Kelvin Thai gia $1000000 , Chi tiet: test hitman >>
[2016/4/19 - 22:25:21] << Kanzaki Inamoto da dat mot hop dong Ngo Duy Quan gia $1000000 , Chi tiet: giet >>
[2016/4/19 - 22:25:28] << Kanzaki Inamoto da dat mot hop dong Donimic Andrew gia $1000000 , Chi tiet: giet >>
[2016/4/19 - 22:35:53] << Alexander Miner da dat mot hop dong Charles Brian gia $1000000 , Chi tiet: nó giét tôi >>
[2016/4/20 - 7:48:12] << mark roys da dat mot hop dong Aquarius Corleone gia $50000 , Chi tiet: RIP >>
[2016/4/20 - 7:50:26] << Aquarius Corleone da dat mot hop dong Delta Smith gia $50000 , Chi tiet: RIP >>
[2016/4/20 - 9:45:12] << Army Rain da dat mot hop dong James smith gia $500000 , Chi tiet: nó quá láo >>
